chartink_symbol,nse_symbol,quantity,amount,broker,transaction_type,product,category
AVROIND,AVROIND-EQ,,20000,*,B,CNC,small_cap
AVTNPL,AVTNPL-EQ,,20000,*,B,CNC,small_cap
AWFIS,AWFIS-EQ,,20000,*,B,CNC,small_cap
AWHCL,AWHCL-EQ,,20000,*,B,CNC,small_cap
AWL,AWL-EQ,,30000,*,B,CNC,mid_cap
AXISBANK,AXISBANK-EQ,,50000,*,B,CNC,large_cap
AXISCADES,AXISCADES-EQ,,20000,*,B,CNC,small_cap
AXITA,AXITA-EQ,,20000,*,B,CNC,small_cap
AYE,AYE-EQ,,20000,*,B,CNC,small_cap
AYMSYNTEX,AYMSYNTEX-EQ,,20000,*,B,CNC,small_cap
AZAD,AZAD-EQ,,20000,*,B,CNC,small_cap
BAFNAPH,BAFNAPH-EQ,,20000,*,B,CNC,small_cap
BAGFILMS,BAGFILMS-EQ,,20000,*,B,CNC,small_cap
BAIDFIN,BAIDFIN-EQ,,20000,*,B,CNC,small_cap
BAJAJ-AUTO,BAJAJ-AUTO-EQ,,50000,*,B,CNC,large_cap
BAJAJCON,BAJAJCON-EQ,,20000,*,B,CNC,small_cap
BAJAJELEC,BAJAJELEC-EQ,,20000,*,B,CNC,small_cap
BAJAJFINSV,BAJAJFINSV-EQ,,50000,*,B,CNC,large_cap
BAJAJHCARE,BAJAJHCARE-EQ,,20000,*,B,CNC,small_cap
BAJAJHFL,BAJAJHFL-EQ,,20000,*,B,CNC,small_cap
BAJAJHIND,BAJAJHIND-EQ,,20000,*,B,CNC,small_cap
BAJAJHLDNG,BAJAJHLDNG-EQ,,20000,*,B,CNC,small_cap
BAJAJINDEF,BAJAJINDEF-EQ,,20000,*,B,CNC,small_cap
BAJAJST,BAJAJST-EQ,,20000,*,B,CNC,small_cap
BAJEL,BAJEL-EQ,,20000,*,B,CNC,small_cap
BAJFINANCE,BAJFINANCE-EQ,,50000,*,B,CNC,large_cap
BALAJEE,BALAJEE-EQ,,20000,*,B,CNC,small_cap
BALAJITELE,BALAJITELE-EQ,,20000,*,B,CNC,small_cap
BALAMINES,BALAMINES-EQ,,20000,*,B,CNC,small_cap
BALAXI,BALAXI-EQ,,20000,*,B,CNC,small_cap
BALKRISHNA,BALKRISHNA-EQ,,20000,*,B,CNC,small_cap
BALKRISIND,BALKRISIND-EQ,,30000,*,B,CNC,mid_cap
BALMLAWRIE,BALMLAWRIE-EQ,,20000,*,B,CNC,small_cap
BALPHARMA,BALPHARMA-EQ,,20000,*,B,CNC,small_cap
BALRAMCHIN,BALRAMCHIN-EQ,,20000,*,B,CNC,small_cap
BALUFORGE,BALUFORGE-EQ,,20000,*,B,CNC,small_cap
BANARBEADS,BANARBEADS-EQ,,20000,*,B,CNC,small_cap
BANARISUG,BANARISUG-EQ,,20000,*,B,CNC,small_cap
BANCOINDIA,BANCOINDIA-EQ,,20000,*,B,CNC,small_cap
BANDHANBNK,BANDHANBNK-EQ,,30000,*,B,CNC,mid_cap
BANG,BANG-EQ,,20000,*,B,CNC,small_cap
BANKA,BANKA-EQ,,20000,*,B,CNC,small_cap
BANKBARODA,BANKBARODA-EQ,,50000,*,B,CNC,large_cap
BANKINDIA,BANKINDIA-EQ,,30000,*,B,CNC,mid_cap
BANSALWIRE,BANSALWIRE-EQ,,20000,*,B,CNC,small_cap
BANSWRAS,BANSWRAS-EQ,,20000,*,B,CNC,small_cap
BASF,BASF-EQ,,20000,*,B,CNC,small_cap
BASML,BASML-EQ,,20000,*,B,CNC,small_cap
BATAINDIA,BATAINDIA-EQ,,20000,*,B,CNC,small_cap
BATLIBOI,BATLIBOI-EQ,,20000,*,B,CNC,small_cap
BAYERCROP,BAYERCROP-EQ,,20000,*,B,CNC,small_cap
BBL,BBL-EQ,,20000,*,B,CNC,small_cap
BBOX,BBOX-EQ,,20000,*,B,CNC,small_cap
BBTC,BBTC-EQ,,20000,*,B,CNC,small_cap
BBTCL,BBTCL-EQ,,20000,*,B,CNC,small_cap
BCG,BCG-EQ,,20000,*,B,CNC,small_cap
BCLIND,BCLIND-EQ,,20000,*,B,CNC,small_cap
BCONCEPTS,BCONCEPTS-EQ,,20000,*,B,CNC,small_cap
BCPL,BCPL-EQ,,20000,*,B,CNC,small_cap
BDL,BDL-EQ,,30000,*,B,CNC,mid_cap
BEARDSELL,BEARDSELL-EQ,,20000,*,B,CNC,small_cap
BECTORFOOD,BECTORFOOD-EQ,,20000,*,B,CNC,small_cap
BEDMUTHA,BEDMUTHA-EQ,,20000,*,B,CNC,small_cap
BEEKAY,BEEKAY-EQ,,20000,*,B,CNC,small_cap
BEL,BEL-EQ,,50000,*,B,CNC,large_cap
BELLACASA,BELLACASA-EQ,,20000,*,B,CNC,small_cap
BELRISE,BELRISE-EQ,,20000,*,B,CNC,small_cap
BEML,BEML-EQ,,20000,*,B,CNC,small_cap
BENGALASM,BENGALASM-EQ,,20000,*,B,CNC,small_cap
BEPL,BEPL-EQ,,20000,*,B,CNC,small_cap
BERGEPAINT,BERGEPAINT-EQ,,30000,*,B,CNC,mid_cap
BESTAGRO,BESTAGRO-EQ,,20000,*,B,CNC,small_cap
BETA,BETA-EQ,,20000,*,B,CNC,small_cap
BFINVEST,BFINVEST-EQ,,20000,*,B,CNC,small_cap
BFUTILITIE,BFUTILITIE-EQ,,20000,*,B,CNC,small_cap
BGRENERGY,BGRENERGY-EQ,,20000,*,B,CNC,small_cap
BHAGCHEM,BHAGCHEM-EQ,,20000,*,B,CNC,small_cap
BHAGERIA,BHAGERIA-EQ,,20000,*,B,CNC,small_cap
BHAGYANGR,BHAGYANGR-EQ,,20000,*,B,CNC,small_cap
BHANDARI,BHANDARI-EQ,,20000,*,B,CNC,small_cap
BHARATCOAL,BHARATCOAL-EQ,,20000,*,B,CNC,small_cap
BHARATFORG,BHARATFORG-EQ,,30000,*,B,CNC,mid_cap
BHARATGEAR,BHARATGEAR-EQ,,20000,*,B,CNC,small_cap
BHARATRAS,BHARATRAS-EQ,,20000,*,B,CNC,small_cap
BHARATSE,BHARATSE-EQ,,20000,*,B,CNC,small_cap
BHARATWIRE,BHARATWIRE-EQ,,20000,*,B,CNC,small_cap
BHARTIARTL,BHARTIARTL-EQ,,50000,*,B,CNC,large_cap
BHARTIHEXA,BHARTIHEXA-EQ,,30000,*,B,CNC,mid_cap
BHEL,BHEL-EQ,,30000,*,B,CNC,mid_cap
BI,BI-EQ,,20000,*,B,CNC,small_cap
BIGBLOC,BIGBLOC-EQ,,20000,*,B,CNC,small_cap
BIKAJI,BIKAJI-EQ,,20000,*,B,CNC,small_cap
BIL,BIL-EQ,,20000,*,B,CNC,small_cap
BIMETAL,BIMETAL-EQ,,20000,*,B,CNC,small_cap
BIOCON,BIOCON-EQ,,30000,*,B,CNC,mid_cap
BIOFILCHEM,BIOFILCHEM-EQ,,20000,*,B,CNC,small_cap
BIRLACABLE,BIRLACABLE-EQ,,20000,*,B,CNC,small_cap
BIRLACORPN,BIRLACORPN-EQ,,20000,*,B,CNC,small_cap
BIRLAMONEY,BIRLAMONEY-EQ,,20000,*,B,CNC,small_cap
BIRLANU,BIRLANU-EQ,,20000,*,B,CNC,small_cap
BIRLAPREC,BIRLAPREC-EQ,,20000,*,B,CNC,small_cap
BLACKBUCK,BLACKBUCK-EQ,,20000,*,B,CNC,small_cap
BLACKROSE,BLACKROSE-EQ,,20000,*,B,CNC,small_cap
BLAL,BLAL-EQ,,20000,*,B,CNC,small_cap
BLBLIMITED,BLBLIMITED-EQ,,20000,*,B,CNC,small_cap
BLIL,BLIL-EQ,,20000,*,B,CNC,small_cap
BLISSGVS,BLISSGVS-EQ,,20000,*,B,CNC,small_cap
BLKASHYAP,BLKASHYAP-EQ,,20000,*,B,CNC,small_cap
BLS,BLS-EQ,,20000,*,B,CNC,small_cap
BLSE,BLSE-EQ,,20000,*,B,CNC,small_cap
BLUECHIP,BLUECHIP-EQ,,20000,*,B,CNC,small_cap
BLUECOAST,BLUECOAST-EQ,,20000,*,B,CNC,small_cap
BLUEDART,BLUEDART-EQ,,20000,*,B,CNC,small_cap
BLUEJET,BLUEJET-EQ,,20000,*,B,CNC,small_cap
BLUESTARCO,BLUESTARCO-EQ,,30000,*,B,CNC,mid_cap
BLUESTONE,BLUESTONE-EQ,,20000,*,B,CNC,small_cap
BLUSPRING,BLUSPRING-EQ,,20000,*,B,CNC,small_cap
BMWVENTLTD,BMWVENTLTD-EQ,,20000,*,B,CNC,small_cap
BNAGROCHEM,BNAGROCHEM-EQ,,20000,*,B,CNC,small_cap
BNALTD,BNALTD-EQ,,20000,*,B,CNC,small_cap
BODALCHEM,BODALCHEM-EQ,,20000,*,B,CNC,small_cap
BOHRAIND,BOHRAIND-EQ,,20000,*,B,CNC,small_cap
BOMDYEING,BOMDYEING-EQ,,20000,*,B,CNC,small_cap
BONLON,BONLON-EQ,,20000,*,B,CNC,small_cap
BORANA,BORANA-EQ,,20000,*,B,CNC,small_cap
BOROLTD,BOROLTD-EQ,,20000,*,B,CNC,small_cap
BORORENEW,BORORENEW-EQ,,20000,*,B,CNC,small_cap
BOROSCI,BOROSCI-EQ,,20000,*,B,CNC,small_cap
BOSCH-HCIL,BOSCH-HCIL-EQ,,20000,*,B,CNC,small_cap
BOSCHLTD,BOSCHLTD-EQ,,50000,*,B,CNC,large_cap
BPCL,BPCL-EQ,,50000,*,B,CNC,large_cap
BPL,BPL-EQ,,20000,*,B,CNC,small_cap
BRIGADE,BRIGADE-EQ,,20000,*,B,CNC,small_cap
BRIGHOTEL,BRIGHOTEL-EQ,,20000,*,B,CNC,small_cap
BRITANNIA,BRITANNIA-EQ,,50000,*,B,CNC,large_cap
BRNL,BRNL-EQ,,20000,*,B,CNC,small_cap
BROOKS,BROOKS-EQ,,20000,*,B,CNC,small_cap
BSE,BSE-EQ,,30000,*,B,CNC,mid_cap
BSHSL,BSHSL-EQ,,20000,*,B,CNC,small_cap
BSL,BSL-EQ,,20000,*,B,CNC,small_cap
BSOFT,BSOFT-EQ,,20000,*,B,CNC,small_cap
BTML,BTML-EQ,,20000,*,B,CNC,small_cap
BTTL,BTTL-EQ,,20000,*,B,CNC,small_cap
BUILDPRO,BUILDPRO-EQ,,20000,*,B,CNC,small_cap
BUTTERFLY,BUTTERFLY-EQ,,20000,*,B,CNC,small_cap
BVCL,BVCL-EQ,,20000,*,B,CNC,small_cap
BYKE,BYKE-EQ,,20000,*,B,CNC,small_cap
CALSOFT,CALSOFT-EQ,,20000,*,B,CNC,small_cap
CAMLINFINE,CAMLINFINE-EQ,,20000,*,B,CNC,small_cap
CAMPUS,CAMPUS-EQ,,20000,*,B,CNC,small_cap
CAMS,CAMS-EQ,,20000,*,B,CNC,small_cap
CANBK,CANBK-EQ,,20000,*,B,CNC,small_cap
CANFINHOME,CANFINHOME-EQ,,20000,*,B,CNC,small_cap
CANHLIFE,CANHLIFE-EQ,,20000,*,B,CNC,small_cap
CANTABIL,CANTABIL-EQ,,20000,*,B,CNC,small_cap
CAPACITE,CAPACITE-EQ,,20000,*,B,CNC,small_cap
CAPILLARY,CAPILLARY-EQ,,20000,*,B,CNC,small_cap
CAPITALSFB,CAPITALSFB-EQ,,20000,*,B,CNC,small_cap
CAPLIPOINT,CAPLIPOINT-EQ,,20000,*,B,CNC,small_cap
