symbol,category
NATCOPHARM,small_cap
NAVA,small_cap
NAVINFLUOR,small_cap
NBCC,small_cap
NCC,small_cap
NETWEB,small_cap
NEULANDLAB,small_cap
NEWGEN,small_cap
NH,small_cap
NIVABUPA,small_cap
NSLNISP,small_cap
NUVAMA,small_cap
NUVOCO,small_cap
OLECTRA,small_cap
ONESOURCE,small_cap
PCBL,small_cap
PFC,small_cap
PFIZER,small_cap
PGEL,small_cap
PGHH,small_cap
PNB,small_cap
PNBHOUSING,small_cap
POLYMED,small_cap
POONAWALLA,small_cap
PPLPHARMA,small_cap
PRAJIND,small_cap
PTCIL,small_cap
PVRINOX,small_cap
RADICO,small_cap
RAILTEL,small_cap
RAINBOW,small_cap
RAMCOCEM,small_cap
RBLBANK,small_cap
RCF,small_cap
RECLTD,small_cap
REDINGTON,small_cap
RELINFRA,small_cap
RHIM,small_cap
RITES,small_cap
RKFORGE,small_cap
RPOWER,small_cap
RRKABEL,small_cap
SAGILITY,small_cap
SAILIFE,small_cap
SAMMAANCAP,small_cap
SAPPHIRE,small_cap
SARDAEN,small_cap
SAREGAMA,small_cap
SBFC,small_cap
SCHNEIDER,small_cap
SCI,small_cap
SHRIRAMFIN,small_cap
SHYAMMETL,small_cap
SIGNATURE,small_cap
SOBHA,small_cap
SONATSOFTW,small_cap
SUMICHEM,small_cap
SUNDRMFAST,small_cap
SWANCORP,small_cap
SWIGGY,small_cap
SYRMA,small_cap
TARIL,small_cap
TATACHEM,small_cap
TATACONSUM,small_cap
TATAPOWER,small_cap
TBOTEK,small_cap
TECHNOE,small_cap
TEJASNET,small_cap
THELEELA,small_cap
TIMKEN,small_cap
TITAGARH,small_cap
TMPV,small_cap
TRIDENT,small_cap
TRITURBINE,small_cap
TRIVENI,small_cap
TTML,small_cap
UCOBANK,small_cap
UNITDSPR,small_cap
USHAMART,small_cap
UTIAMC,small_cap
VBL,small_cap
VENTIVE,small_cap
VGUARD,small_cap
VIJAYA,small_cap
VTL,small_cap
WELCORP,small_cap
WELSPUNLIV,small_cap
WHIRLPOOL,small_cap
WOCKPHARMA,small_cap
ZEEL,small_cap
ZENSARTECH,small_cap
ZENTEC,small_cap
ZFCVINDIA,small_cap
ZYDUSLIFE,small_cap
AARTIDRUGS,small_cap
AARTIPHARM,small_cap
ABDL,small_cap
ACI,small_cap
ACUTAAS,small_cap
ADVENZYMES,small_cap
AETHER,small_cap
AGI,small_cap
AHLUCONT,small_cap
ALLCARGO,small_cap
ANUP,small_cap
ARVIND,small_cap
ARVINDFASN,small_cap
ASHOKA,small_cap
ASKAUTOLTD,small_cap
ASTRAMICRO,small_cap
AURIONPRO,small_cap
AVALON,small_cap
AVANTIFEED,small_cap
AVL,small_cap
AWFIS,small_cap
AZAD,small_cap
BAJAJHIND,small_cap
BALAMINES,small_cap
BALUFORGE,small_cap
BANCOINDIA,small_cap
BANSALWIRE,small_cap
BBL,small_cap
BECTORFOOD,small_cap
BEPL,small_cap
BIRLACORPN,small_cap
BLACKBUCK,small_cap
BOMDYEING,small_cap
BOROLTD,small_cap
BORORENEW,small_cap
CARTRADE,small_cap
CEIGALL,small_cap
CELLO,small_cap
CHEMPLASTS,small_cap
CIEINDIA,small_cap
CIGNITITEC,small_cap
CMSINFO,small_cap
CSBBANK,small_cap
CYIENTDLM,small_cap
DATAMATICS,small_cap
DBL,small_cap
DCAL,small_cap
DCBBANK,small_cap
DCXINDIA,small_cap
DHANI,small_cap
DODLA,small_cap
DYNAMATECH,small_cap
EASEMYTRIP,small_cap
EDELWEISS,small_cap
EIEL,small_cap
ELECTCAST,small_cap
EMBDL,small_cap
EMIL,small_cap
EMUDHRA,small_cap
ENTERO,small_cap
EPIGRAL,small_cap
EPL,small_cap
EQUITASBNK,small_cap
ETHOSLTD,small_cap
EUREKAFORB,small_cap
FCL,small_cap
FDC,small_cap
FIEMIND,small_cap
FINEORG,small_cap
GABRIEL,small_cap
GAEL,small_cap
GANECOS,small_cap
GANESHHOUC,small_cap
GARFIBRES,small_cap
GATEWAY,small_cap
GHCL,small_cap
GMMPFAUDLR,small_cap
GOKEX,small_cap
GOPAL,small_cap
GREAVESCOT,small_cap
GREENPANEL,small_cap
GREENPLY,small_cap
GRINFRA,small_cap
GRWRHITECH,small_cap
GSFC,small_cap
GULFOILLUB,small_cap
HATHWAY,small_cap
HCC,small_cap
HCG,small_cap
HEIDELBERG,small_cap
HEMIPROP,small_cap
HERITGFOOD,small_cap
HGINFRA,small_cap
HIKAL,small_cap
ICIL,small_cap
IFBIND,small_cap
IIFLCAPS,small_cap
IMAGICAA,small_cap
IMFA,small_cap
INDIAGLYCO,small_cap
INDIASHLTR,small_cap
INDIGOPNTS,small_cap
INFIBEAM,small_cap
INGERRAND,small_cap
INNOVACAP,small_cap
INOXGREEN,small_cap
IONEXCHANG,small_cap
ISGEC,small_cap
ITDCEM,small_cap
IXIGO,small_cap
JAIBALAJI,small_cap
JAICORPLTD,small_cap
JAMNAAUTO,small_cap
JCHAC,small_cap
JINDWORLD,small_cap
JISLJALEQS,small_cap
JKIL,small_cap
JKLAKSHMI,small_cap
JKPAPER,small_cap
JSFB,small_cap
JTLIND,small_cap
KIRLPNU,small_cap
KPIGREEN,small_cap
KRBL,small_cap
KSCL,small_cap
KSL,small_cap
KTKBANK,small_cap
LLOYDSENGG,small_cap
LLOYDSENT,small_cap
LMW,small_cap
LUXIND,small_cap
LXCHEM,small_cap
MAHLIFE,small_cap
MANINFRA,small_cap
MARKSANS,small_cap
MAXESTATES,small_cap
MEDPLUS,small_cap
MIDHANI,small_cap
MOIL,small_cap
MSTCLTD,small_cap
MTARTECH,small_cap
NAZARA,small_cap
NEOGEN,small_cap
NESCO,small_cap
NFL,small_cap
NOCIL,small_cap
OPTIEMUS,small_cap
ORCHPHARMA,small_cap
ORIENTCEM,small_cap
ORISSAMINE,small_cap
PAISALO,small_cap
PARADEEP,small_cap
PARAS,small_cap
PARKHOTELS,small_cap
PATELENG,small_cap
PCJEWELLER,small_cap
PGIL,small_cap
PNGJL,small_cap
POLYPLEX,small_cap
POWERMECH,small_cap
PRICOLLTD,small_cap
PRINCEPIPE,small_cap
PRSMJOHNSN,small_cap
PRUDENT,small_cap
PTC,small_cap
RAIN,small_cap
RAJESHEXPO,small_cap
RALLIS,small_cap
RATEGAIN,small_cap
RBA,small_cap
REDTAPE,small_cap
REFEX,small_cap
RELIGARE,small_cap
RESPONIND,small_cap
ROSSARI,small_cap
RTNPOWER,small_cap
SAFARI,small_cap
SAMHI,small_cap
SANOFI,small_cap
SANOFICONR,small_cap
SANSERA,small_cap
SBCL,small_cap
SENCO,small_cap
SEQUENT,small_cap
SFL,small_cap
SHAILY,small_cap
SHAKTIPUMP,small_cap
SHARDACROP,small_cap
SHAREINDIA,small_cap
SHILPAMED,small_cap
SHOPERSTOP,small_cap
SHRIPISTON,small_cap
SKIPPER,small_cap
SOUTHBANK,small_cap
SPANDANA,small_cap
SPARC,small_cap
STAR,small_cap
STARCEMENT,small_cap
STLTECH,small_cap
STYLAMIND,small_cap
SUBROS,small_cap
SUDARSCHEM,small_cap
SULA,small_cap
SUNFLAG,small_cap
SUNTECK,small_cap
SUPRAJIT,small_cap
SUPRIYA,small_cap
SURYAROSNI,small_cap
SYMPHONY,small_cap
TARC,small_cap
TDPOWERSYS,small_cap
TEAMLEASE,small_cap
TEGA,small_cap
TEXRAIL,small_cap
THANGAMAYL,small_cap
THOMASCOOK,small_cap
TI,small_cap
TIIL,small_cap
TIMETECHNO,small_cap
TIPSMUSIC,small_cap
TIRUMALCHM,small_cap
TRANSRAILL,small_cap
TVSSCS,small_cap
UJJIVANSFB,small_cap
UNIMECH,small_cap
VAIBHAVGBL,small_cap
VARROC,small_cap
VENUSPIPES,small_cap
VESUVIUS,small_cap
VIPIND,small_cap
VMART,small_cap
VOLTAMP,small_cap
VSTIND,small_cap
WABAG,small_cap
WEBELSOLAR,small_cap
WELENT,small_cap
WONDERLA,small_cap
YATHARTH,small_cap
ZAGGLE,small_cap
ZYDUSWELL,small_cap
